rus,gbr,chn,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
541,312,470,1387,17,734,184,76,303,675,149,282,1110,66,109,43,198,120
739,711,689,855,33,259,130,64,279,305,176,266,2579,89,56,64,156,85
1020,595,788,1046,14,295,314,68,311,413,146,225,777,298,97,43,240,211
520,501,849,872,179,268,172,234,299,410,279,351,399,155,95,48,125,53
591,634,654,1898,17,269,260,718,334,829,157,379,210,241,127,23,136,101
677,501,1976,544,9,331,149,162,293,315,97,309,240,201,103,37,192,173
461,212,878,506,23,309,162,168,131,315,110,214,175,75,65,95,95,71
574,339,271,391,471,149,148,350,91,135,124,189,324,133,68,57,123,188
791,460,426,894,235,500,156,279,204,473,171,538,332,142,146,23,272,445
556,480,336,1406,76,140,177,181,196,650,143,326,276,239,72,40,288,284
538,463,470,802,54,439,161,327,190,530,180,693,1609,128,137,65,357,371
709,923,510,946,68,310,157,230,295,786,105,246,1845,147,129,58,152,401
764,595,478,352,32,202,236,99,286,164,127,362,1222,199,63,41,243,485
661,515,435,406,105,173,212,221,583,159,278,284,633,350,92,47,146,276
1201,546,965,591,59,182,336,124,376,242,121,368,405,269,96,50,173,534
1291,377,1576,338,45,201,288,65,203,158,110,407,235,299,199,27,170,194
1230,452,1458,359,47,212,220,161,150,138,69,435,229,359,158,55,180,374
1595,409,606,303,22,227,278,496,346,110,152,356,253,341,188,72,172,288
977,299,1102,875,115,148,156,515,112,246,206,381,222,110,84,74,256,348
501,210,681,565,155,219,93,253,42,283,228,252,393,110,71,63,244,473
1039,395,854,525,46,167,134,266,158,223,388,334,373,193,86,334,263,657
824,357,595,573,96,324,249,506,175,159,232,273,255,183,116,47,336,283
979,282,978,499,136,266,287,193,165,179,546,305,274,284,80,67,362,351
1041,261,602,685,78,174,286,194,196,165,144,354,230,180,146,40,214,145
741,311,614,1033,46,122,137,567,122,236,100,350,153,194,140,87,279,467
784,334,616,537,68,274,188,233,270,154,91,459,275,156,148,59,157,251
404,195,666,634,35,317,244,482,125,163,91,400,180,295,175,50,241,358
775,207,601,680,34,227,86,94,139,233,93,238,284,100,113,33,134,112
502,264,454,579,53,139,199,105,122,234,84,416,183,151,62,28,255,302
899,175,426,836,59,219,160,110,99,343,63,469,161,233,128,44,437,535
497,261,438,778,58,186,125,108,167,448,58,935,140,218,157,71,244,631
558,181,376,695,27,152,78,65,108,236,99,372,240,70,144,37,196,177
615,245,483,918,52,392,119,140,243,455,164,365,231,90,82,57,247,385
712,182,253,1140,109,157,153,52,238,586,115,264,142,128,89,39,342,1210
670,235,292,969,89,191,187,96,81,457,67,280,148,69,56,42,177,281
927,224,242,833,72,199,129,83,101,502,93,266,128,97,109,23,168,208
696,217,269,765,65,203,151,76,120,509,80,333,221,116,139,61,278,140
1110,622,334,607,100,146,196,75,145,287,129,974,802,227,155,28,305,226
1468,255,871,947,46,214,280,45,236,298,193,840,216,315,152,66,556,417
798,216,3654,788,77,139,219,83,224,331,187,563,227,107,245,61,181,148
1207,279,1086,895,80,209,353,126,187,488,101,696,260,170,77,74,340,440
1066,306,435,1136,32,312,390,133,200,649,95,1075,216,191,100,49,307,477
1120,326,1009,671,73,278,313,131,325,284,83,1246,170,153,160,152,369,326
1053,206,492,779,71,144,167,192,79,348,50,523,281,100,56,118,302,269
1056,506,807,908,1328,417,301,909,343,301,184,928,342,277,298,179,200,134
1063,720,690,1062,3406,291,200,1130,184,637,187,485,363,260,202,86,168,136
1247,488,224,858,2474,378,208,759,271,608,231,487,334,243,134,58,212,148
920,427,321,1139,1937,196,217,564,254,617,221,417,339,148,180,72,117,131
631,372,511,988,1782,379,167,769,109,483,315,405,381,166,166,69,259,248
743,416,886,854,883,789,239,939,220,424,130,673,690,141,146,30,515,548
784,368,273,1068,731,274,147,374,148,568,149,134,546,99,85,40,93,156
632,296,356,1603,406,202,204,247,82,1011,81,167,244,87,96,46,111,189
854,244,330,733,401,321,260,497,188,423,32,172,268,169,112,43,50,100
530,347,151,756,326,239,150,486,140,556,41,184,302,129,182,57,100,203
785,376,417,675,716,429,336,390,187,718,150,234,860,135,174,95,170,485
714,310,380,651,415,355,212,339,103,598,103,423,1565,114,180,82,136,413
846,469,284,497,532,172,171,306,236,208,148,196,2152,331,111,99,113,254
526,384,592,559,365,178,165,200,305,244,201,377,1588,204,73,108,230,750
576,466,348,548,424,204,313,434,288,230,312,422,1593,188,189,50,305,591
762,435,564,543,421,384,305,335,194,271,489,498,1944,123,209,91,484,919
637,654,588,436,488,203,234,628,266,141,495,626,3229,293,205,119,707,1635
877,928,484,488,345,360,318,262,554,127,875,495,3813,498,176,147,516,1130
942,1955,357,535,580,310,217,665,465,247,1223,446,7364,295,201,122,389,803
1066,1397,906,616,437,548,332,350,482,471,401,636,6912,360,254,132,576,1330
944,601,343,1062,489,727,325,365,542,623,184,571,3245,372,410,112,537,640
611,480,486,1057,324,768,448,491,376,678,172,716,2110,150,238,87,528,717
477,666,608,847,471,436,295,393,199,729,577,551,2798,172,214,213,491,1087
728,413,737,618,414,299,184,309,163,340,200,804,2165,129,276,90,655,1003
974,530,589,956,664,432,359,465,435,493,340,436,2945,299,168,71,463,427
723,383,829,687,431,395,195,308,271,460,376,534,2504,153,145,222,405,610
551,856,713,576,405,464,259,137,178,318,269,505,2673,229,115,120,501,406
539,437,857,573,475,468,256,167,384,274,169,538,2612,252,311,92,425,393
829,494,469,468,352,544,230,235,327,243,395,504,2156,153,288,142,435,448
872,421,799,456,322,349,231,393,286,266,234,695,1636,230,173,112,517,728
532,451,524,723,565,277,275,527,290,423,186,376,1884,192,156,124,287,262
592,431,773,962,219,329,225,221,237,576,126,641,3231,153,173,96,283,306
665,463,418,594,382,217,245,298,182,446,177,522,4212,245,120,103,379,461
681,450,544,262,479,409,278,205,479,158,319,665,2704,203,187,143,647,760
371,158,306,383,263,211,135,183,163,180,32,419,1409,136,73,117,195,319
450,255,197,332,334,231,160,198,130,149,47,275,1082,92,53,71,164,171
491,449,288,185,382,309,187,234,277,93,78,390,1705,111,100,43,230,372
282,361,310,293,349,191,184,107,214,144,49,377,1779,84,127,78,267,263
306,274,203,330,236,492,209,166,269,311,36,227,1600,89,133,72,154,236
287,194,269,233,178,264,203,164,176,144,66,267,1178,127,106,45,76,226
270,306,217,259,221,369,227,112,158,228,53,153,1278,140,117,102,66,255
667,269,333,235,226,665,500,135,309,257,117,420,839,252,126,49,288,476
316,222,435,312,422,440,254,215,209,144,86,315,912,105,192,37,203,303
375,174,260,385,319,228,206,113,143,147,94,194,800,122,78,56,130,199
655,289,428,256,517,326,220,204,178,258,110,327,982,169,87,71,193,484
266,345,353,210,319,436,246,222,189,172,166,330,1188,164,157,108,238,544
286,514,500,171,406,250,160,163,146,140,99,406,796,104,122,125,238,669
298,254,444,184,286,434,109,138,85,157,49,289,846,85,116,73,152,292
413,256,494,237,275,489,167,189,218,131,133,235,874,126,109,101,126,402
378,241,360,162,227,348,163,191,253,178,103,466,965,88,91,66,184,221
223,258,627,211,183,354,255,159,142,86,85,298,1142,182,76,122,189,279
243,175,200,146,182,361,251,154,97,74,66,367,1059,253,175,42,146,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,926,1171,657,464,1521,343,245,318,405,175,396,4801,266,355,136,298,703
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,1729,1643,1053,1047,2521,775,1170,696,502,1015,1085,3473,491,710,847,321,805
